Biomarker,Description,Units,Group,Sub.Group,Type,Nightingale,UKB.Field.ID,QC.Flag.Field.ID,Full.Formula,Simplified.Formula
Total_TG_pct,Total Triglycerides to Total Lipids percentage,%,Relative lipid concentrations,"",Percentage,FALSE,,,(XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG + IDL_TG + L_LDL_TG + M_LDL_TG + S_LDL_TG + XL_HDL_TG + L_HDL_TG + M_HDL_TG + S_HDL_TG) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG + IDL_CE + IDL_FC + IDL_PL + IDL_TG + L_LDL_CE + L_LDL_FC + L_LDL_PL + L_LDL_TG + M_LDL_CE + M_LDL_FC + M_LDL_PL + M_LDL_TG + S_LDL_CE + S_LDL_FC + S_LDL_PL + S_LDL_TG + XL_HDL_CE + XL_HDL_FC + XL_HDL_PL + XL_HDL_TG + L_HDL_CE + L_HDL_FC + L_HDL_PL + L_HDL_TG + M_HDL_CE + M_HDL_FC + M_HDL_PL + M_HDL_TG + S_HDL_CE + S_HDL_FC + S_HDL_PL + S_HDL_TG) * 100,Total_TG / Total_L * 100
VLDL_C_pct,Cholesterol to Total Lipids in VLDL percentage,%,Relative lipid concentrations,"",Percentage,FALSE,,,(XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG) * 100,VLDL_C / VLDL_L * 100
VLDL_CE_pct,Cholesteryl Esters to Total Lipids in VLDL percentage,%,Relative lipid concentrations,"",Percentage,FALSE,,,(XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG) * 100,VLDL_CE / VLDL_L * 100
VLDL_CE_pct_C,Cholesteryl Esters to Cholesterol in VLDL percentage,%,Relative cholesterol concentrations,"",Percentage,FALSE,,,(XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE) / (XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE + XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC),VLDL_CE / VLDL_C * 100
VLDL_FC_by_CE,Free Cholesterol to Cholesteryl Esters in VLDL percentage,ratio,Relative lipid concentrations,"",Ratio,FALSE,,,(XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC) / (XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE),VLDL_FC / VLDL_CE
VLDL_FC_pct,Free Cholesterol to Total Lipids in VLDL percentage,%,Relative lipid concentrations,"",Percentage,FALSE,,,(XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG) * 100,VLDL_FC / VLDL_L * 100
VLDL_FC_pct_C,Free Cholesterol to Cholesterol in VLDL percentage,%,Relative cholesterol concentrations,"",Percentage,FALSE,,,(XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC) / (XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE + XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC),VLDL_FC / VLDL_C * 100
VLDL_PL_pct,Phospholipids to Total Lipids in VLDL percentage,%,Relative lipid concentrations,"",Percentage,FALSE,,,(XXL_VLDL_PL + XL_VLDL_PL + L_VLDL_PL + M_VLDL_PL + S_VLDL_PL + XS_VLDL_PL) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG) * 100,VLDL_PL / VLDL_L * 100
VLDL_TG_pct,Triglycerides to Total Lipids in VLDL percentage,%,Relative lipid concentrations,"",Percentage,FALSE,,,(XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG) * 100,VLDL_TG / VLDL_L * 100
XL_HDL_CE_pct_C,Cholesteryl Esters to Cholesterol in Very Large HDL percentage,%,Relative lipoprotein cholesterol concentrations,Very large HDL ratios,Percentage,FALSE,,,XL_HDL_CE / (XL_HDL_CE + XL_HDL_FC) * 100,XL_HDL_CE / XL_HDL_C * 100
XL_HDL_FC_by_CE,Free Cholesterol to Cholesteryl Esters in Very Large HDL ratio,ratio,Relative lipoprotein lipid concentrations,Very large HDL ratios,Ratio,FALSE,,,XL_HDL_FC / XL_HDL_CE,XL_HDL_FC / XL_HDL_CE
XL_HDL_FC_pct_C,Free Cholesterol to Cholesterol in Very Large HDL percentage,%,Relative lipoprotein cholesterol concentrations,Very large HDL ratios,Percentage,FALSE,,,XL_HDL_FC / (XL_HDL_CE + XL_HDL_FC) * 100,XL_HDL_FC / XL_HDL_C * 100
XL_VLDL_CE_pct_C,Cholesteryl Esters to Cholesterol in Very Large VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Very large VLDL ratios,Percentage,FALSE,,,XL_VLDL_CE / (XL_VLDL_CE + XL_HDL_FC) * 100,XL_VLDL_CE / XL_VLDL_C * 100
XL_VLDL_FC_by_CE,Free Cholesterol to Cholesteryl Esters in Very Large VLDL ratio,ratio,Relative lipoprotein lipid concentrations,Very large VLDL ratios,Ratio,FALSE,,,XL_VLDL_FC / XL_VLDL_CE,XL_VLDL_FC / XL_VLDL_CE
XL_VLDL_FC_pct_C,Free Cholesterol to Cholesterol in Very Large VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Very large VLDL ratios,Percentage,FALSE,,,XL_VLDL_FC / (XL_VLDL_CE + XL_HDL_FC) * 100,XL_VLDL_FC / XL_VLDL_C * 100
XS_VLDL_CE_pct_C,Cholesteryl Esters to Cholesterol in Very Small VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Very small VLDL ratios,Percentage,FALSE,,,XS_VLDL_CE / (XS_VLDL_CE + XS_VLDL_FC) * 100,XS_VLDL_CE / XS_VLDL_C * 100
XS_VLDL_FC_by_CE,Free Cholesterol to Cholesteryl Esters in Very Small VLDL ratio,ratio,Relative lipoprotein lipid concentrations,Very small VLDL ratios,Ratio,FALSE,,,XS_VLDL_FC / XS_VLDL_CE,XS_VLDL_FC / XS_VLDL_CE
XS_VLDL_FC_pct_C,Free Cholesterol to Cholesterol in Very Small VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Very small VLDL ratios,Percentage,FALSE,,,XS_VLDL_FC / (XS_VLDL_CE + XS_VLDL_FC) * 100,XS_VLDL_FC / XS_VLDL_C * 100
XXL_VLDL_CE_pct_C,Cholesteryl Esters to Cholesterol in Chylomicrons and Extremely Large VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Chylomicrons and extremely large VLDL ratios,Percentage,FALSE,,,XXL_VLDL_CE / (XXL_VLDL_CE + XXL_VLDL_FC) * 100,XXL_VLDL_CE / XXL_VLDL_C * 100
XXL_VLDL_FC_by_CE,Free Cholesterol to Cholesteryl Esters in Chylomicrons and Extremely Large VLDL ratio,ratio,Relative lipoprotein lipid concentrations,Chylomicrons and extremely large VLDL ratios,Ratio,FALSE,,,XXL_VLDL_FC / XXL_VLDL_CE,XXL_VLDL_FC / XXL_VLDL_CE
XXL_VLDL_FC_pct_C,Free Cholesterol to Cholesterol in Chylomicrons and Extremely Large VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Chylomicrons and extremely large VLDL ratios,Percentage,FALSE,,,XXL_VLDL_FC / (XXL_VLDL_CE + XXL_VLDL_FC) * 100,XXL_VLDL_FC / XXL_VLDL_C * 100
